contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,delta,gamma,theta,vega,rho
META250328P00550000,2025-03-21 19:59:47+00:00,550.0,1.2,0.0,0.0,0.0,0.0,1956.0,0,0.12500875,False,REGULAR,USD,-3.8539596740930456e-13,4.1638595182141404e-13,-1.1451474140558958e-09,1.520973528845046e-12,-1.8915890942718577e-14
META250328P00552500,2025-03-21 19:59:22+00:00,552.5,1.31,0.0,0.0,0.0,0.0,237.0,0,0.12500875,False,REGULAR,USD,-6.615563576000012e-12,6.7629864150473415e-12,-1.8588966611674272e-08,2.470381930089087e-11,-3.2473032124881004e-13
META250328P00555000,2025-03-21 19:59:37+00:00,555.0,1.49,0.0,0.0,0.0,0.0,653.0,0,0.12500875,False,REGULAR,USD,-9.592259096767852e-11,9.252126813052435e-11,-2.5414494269302823e-07,3.3796144914624185e-10,-4.708874523117832e-12
META250328P00557500,2025-03-21 19:59:08+00:00,557.5,1.7,0.0,0.0,0.0,0.0,327.0,0,0.12500875,False,REGULAR,USD,-1.1778320146054347e-09,1.0685258217833512e-09,-2.9330188339353668e-06,3.9031083606704314e-09,-5.7826149912144736e-11
META250328P00560000,2025-03-21 19:59:55+00:00,560.0,1.91,0.0,0.0,0.0,0.0,4910.0,0,0.12500875,False,REGULAR,USD,-1.227931992421236e-08,1.0440774138247964e-08,-2.863604485371951e-05,3.8138032792556894e-08,-6.029276240950346e-10
META250328P00562500,2025-03-21 19:54:57+00:00,562.5,2.5,0.0,0.0,0.0,0.0,319.0,0,0.12500875,False,REGULAR,USD,-1.0897455420941768e-07,8.650333849936945e-08,-0.00023703717757194318,3.1597917134027835e-07,-5.351457440056921e-09
META250328P00565000,2025-03-21 19:59:37+00:00,565.0,2.48,0.0,0.0,0.0,0.0,6044.0,0,0.12500875,False,REGULAR,USD,-8.254384349285517e-07,6.090016880025978e-07,-0.0016670482768719847,2.224559792236161e-06,-4.0541057432663106e-08
META250328P00567500,2025-03-21 19:59:49+00:00,567.5,2.82,0.0,0.0,0.0,0.0,434.0,0,0.12500875,False,REGULAR,USD,-5.350912600934146e-06,3.6509642095615324e-06,-0.009981902140838527,1.3336232630358847e-05,-2.6285144939106496e-07
META250328P00570000,2025-03-21 19:59:15+00:00,570.0,3.2,0.0,0.0,0.0,0.0,2423.0,0,0.062509375,False,REGULAR,USD,-5.281824909182528e-16,1.2725798468150408e-15,-8.681407305693018e-13,2.3244241140489162e-15,-2.5902333050631745e-17
META250328P00572500,2025-03-21 19:58:20+00:00,572.5,3.75,0.0,0.0,0.0,0.0,453.0,0,0.062509375,False,REGULAR,USD,-2.1167077896313807e-13,4.623711321674022e-13,-3.1483471561311713e-10,8.445415915864446e-13,-1.0381151699656175e-14
META250328P00575000,2025-03-21 19:59:57+00:00,575.0,4.14,0.0,0.0,0.0,0.0,2364.0,0,0.062509375,False,REGULAR,USD,-4.6165918053119674e-11,9.05385960039056e-11,-6.150807436190065e-08,1.6537280260277315e-10,-2.2643419923460154e-12
